field_id,label_on_form,section,data_type,allowed_values,is_required_global,default_value,notes
job_title,Job Title,HEADER,string,,TRUE,,
client_name,Client Name,HEADER,string,,TRUE,,
dept_section,Dept/Section,HEADER,string,,TRUE,,
project_no,Project No.,HEADER,string,,FALSE,,
activity_no,Activity No.,HEADER,string,,FALSE,,
deadline_date,Deadline Due,HEADER,date,,TRUE,,
quantity,Quantity Required,JOB_DESCRIPTION,int,,TRUE,,
pages_supplied,Pages Supplied,JOB_DESCRIPTION,int,,FALSE,,
job_type,Job Type (Flyers/Brochures/Posters/NCR/Business Cards/Other),JOB_TYPE,enum,FLYER|BROCHURE|POSTER|NCR|BUSINESS_CARD|OTHER,TRUE,,
size_group,Size (BC/DL/A6/A5/A4/A3/A2/A1/A0/Other),SIZE,enum,BC|DL|A6|A5|A4|A3|A2|A1|A0|OTHER,TRUE,,
custom_size_mm,Custom Size (mm x mm),SIZE,string,,FALSE,,
colour_mode,Colour / B&W,JOB_DESCRIPTION,enum,COLOUR|B&W|EITHER,FALSE,,
stock_weight,Stock Weight (gsm),STOCK,enum,80|100|128|148|200|250|300|350|400,FALSE,,
stock_coating,Stock Coating,STOCK,enum,UNCOATED|MATT|GLOSS|RECYCLED|LABEL|OTHER,FALSE,,
carbonless_type,Carbonless Stock,STOCK,enum,NONE|DUPLICATE|TRIPLICATE|QUAD,FALSE,,
finishing_guillotine,Guillotine / Trim,FINISHING,bool,,FALSE,,
finishing_fold,Folding,FINISHING,bool,,FALSE,,
finishing_saddle,Saddle Stitch,FINISHING,bool,,FALSE,,
finishing_wire,Wire Bind,FINISHING,bool,,FALSE,,
finishing_comb,Comb Bind,FINISHING,bool,,FALSE,,
notes,Notes,JOB_DESCRIPTION,text,,FALSE,,
department_code,Department / Cost Centre,ADMIN,string,,TRUE,,
delivery_type,Delivery / Pickup,ADMIN,enum,DELIVERY|PICKUP,FALSE,,
delivery_date_requested,Requested Delivery Date,ADMIN,date,,FALSE,,
